event_date,user_pseudo_id,item_name,session_id,session_engaged,engagement_time_seconds
20221129,837539541.1668773209,,1669708457,0,
20221129,850234770.1669742302,,1669742303,0,8.128
20221129,199944992.1669316249,,1669753155,0,
20221129,182335649.1669757370,,1669757371,1,29.214
20221129,1937417551.1669769364,,1669769364,1,26.269
20221129,1937417551.1669769364,,1669772502,0,9.51
20221129,1482114222.1668180950,,1669790463,1,10.005
20221129,2034095489.1669790480,,1669790480,1,15.513
20221129,933951808.1668739368,,1669773220,0,0.054
20221129,1052998309.1669740896,,1669740895,1,1.537
20221129,1430202770.1669755570,,1669755570,1,31.091
20221129,133212688.1669731126,,1669731126,0,
20221129,1455365006.1669731933,,1669731933,0,
20221129,2052089913.1669755732,,1669755732,0,3.093
20221129,713406749.1669755751,,1669755751,1,25.336
20221129,30450506.1669785184,,1669785183,1,28.648
20221129,1572372550.1669738203,,1669738202,0,
20221129,512996049.1669784605,,1669784605,0,
20221129,1789629904.1669722251,,1669722251,0,
20221129,684491493.1669716507,,1669716506,1,91.189
20221129,1437366348.1669741034,,1669741034,1,0.038
20221129,887831405.1669739167,,1669739166,1,5.585
20221129,1086767204.1669769146,,1669769146,0,
20221129,268808590.1669786249,,1669786249,0,0.05
20221129,329219792.1669785272,,1669785272,0,
20221129,246542377.1669781291,,1669781290,0,
20221129,1264251599.1669738719,,1669738718,1,26.967
20221129,1084980863.1669757529,,1669757528,1,12.799
20221129,1084980863.1669757529,,1669762791,0,
20221129,1845928594.1669715128,,1669715128,0,0.062
20221129,1673246693.1669743594,,1669743593,0,
20221129,521103862.1669736904,,1669736904,1,
20221129,345319476.1669778460,,1669778460,0,7.071
20221129,622889126.1669742641,,1669742641,0,
20221129,162536239.1668708346,,1669752673,0,1.163
20221129,900037923.1669755889,,1669755889,0,
20221129,83945781.1669761369,,1669761369,1,40.853
20221129,60914593.1669768323,,1669768322,1,31.986
20221129,1255236061.1669783716,,1669783715,0,1.104
20221129,1200776407.1669651569,,1669764612,0,
20221129,1271120092.1669727694,,1669727694,0,
20221129,1271120092.1669727694,,1669732874,0,
20221129,818927626.1669194523,,1669765734,0,
20221129,818927626.1669194523,,1669768863,1,165.374
20221129,352119230.1669134400,,1669757160,1,15.426
20221129,677266733.1669779783,,1669782231,0,3.276
20221129,677266733.1669779783,,1669779783,1,51.813
20221129,1867734791.1669744155,,1669744155,1,46.406
20221129,117837492.1669768090,,1669768089,1,15.413
20221129,2015715138.1669504409,,1669768110,0,3.225
20221129,376876953.1668802326,,1669723581,1,97.359
20221129,280912671.1669051253,,1669728877,0,4.406
20221129,416772016.1669742428,,1669742428,0,9.877
20221129,1419353023.1669132637,,1669742427,0,
20221129,1049128397.1669676457,,1669745240,0,
20221129,708661399.1660080672,,1669742452,1,17.75
20221129,1608648711.1666637710,,1669735684,1,41.877
20221129,2140751163.1669177659,,1669740555,1,65.293
20221129,376876953.1668802326,,1669742810,1,13.216
20221129,808829615.1667234427,,1669743084,0,1.977
20221129,423840286.1669754552,,1669754552,0,5.286
